# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.7814621174641588,1.5267076025789175,3.8681786855797955,5.101973304352098,-170.65217612269436,0.0,-0.015649491097341997,-63.899841456815544,-3.287580301238174,-16.85476237564803
 0.7965159051904236,1.5860939680533002,3.9449450566364557,5.099472136353018,-170.7059455410567,0.0,-0.016677972565639264,-59.95932635482604,-3.5718198861375545,-18.881599107675683
 0.8110058938409758,1.6443263996120008,4.0188044975785076,5.0972738987781945,-170.76214247773893,0.0,-0.017783467168933316,-56.23200416997096,-3.8783285506617524,-21.153133512807646
 0.825107923486515,1.7014122773497071,4.048061106988523,2.074638200698268,-170.82089240863823,0.0,-0.0189728034154302,-52.707023738343274,-4.166062075886634,-20.403695954213145
 0.839073024558611,1.7573589858522793,4.006179992091897,-2.998984015970293,-170.88232910140314,0.0,-0.020253523508347165,-49.37412493129237,-4.399301691249023,-16.701605964630634
 0.852997972382244,1.8121739145250622,3.9364548698525628,-5.0072088687470035,-170.94659530039115,0.0,-0.021633970398585882,-46.223600271976224,-4.6151841861064655,-15.503289318689877
 0.8668825079959683,1.865864457949386,3.8669311612591883,-5.007276478491125,-171.01384348019542,0.0,-0.02312338669244272,-43.24626030350581,-4.84338703685701,-16.435756808817835
 0.8807263612890712,1.9184380162701853,3.7976101889920977,-5.007346639654645,-171.08423667584498,0.0,-0.024732027637606548,-40.43340136331723,-5.084797863655424,-17.438123742519476
 0.8945292502163942,1.9699019956179364,3.728493333441067,-5.007419527531889,-171.15794939888835,0.0,-0.02647129067737024,-37.776775306799806,-5.340383700216548,-18.516836432349304
 0.908290879944656,2.020263808568605,3.6595820368020897,-5.007495333016887,-171.23516864986462,0.0,-0.028353863673686044,-35.268562038268364,-5.611199581811207,-19.679055965188038
 0.9220109419232922,2.0695308746456926,3.5908778075348513,-5.007574264184723,-171.3160950391383,0.0,-0.03039389558417476,-32.90134353559705,-5.898398228791881,-20.932751428373678
 0.9356891128720317,2.117710620869004,3.5223822252164076,-5.007656548169987,-171.4009440298005,0.0,-0.03260719290960886,-30.668079977694575,-6.203240987423433,-22.28680718891329
 0.9493250536765293,2.1648104823553833,3.4540969458333395,-5.0077424331840295,-171.48994731836007,0.0,-0.035011446710164935,-28.562087373260937,-6.527110218181915,-23.751146723345926
 0.962918408182352,2.2108379029773326,3.3860237075575155,-5.007832190844805,-171.58335437126914,0.0,-0.03762649529617697,-26.577016863476118,-6.871523351285841,-25.336875673800648
 0.976468801876464,2.255800336086226,3.318164337057661,-5.007926118732709,-171.68143413808343,0.0,-0.04047462915500841,-24.706835389899013,-7.2381488706784065,-27.056447780692285
 0.9899758404440754,2.2997052453077877,3.2505207564033647,-5.008024543329515,-171.78447696527292,0.0,-0.04358094587660488,-22.945807620408253,-7.628824532755086,-28.923857744323275
 1.0034391081872374,2.342560105418509,3.183094990626411,-5.008127823291575,-171.89279673846434,0.0,-0.046973764110403105,-21.28847919552893,-8.045578180414067,-30.954865906952694
 1.016858166289939,2.38437240331299,3.115889176011791,-5.008236353123016,-172.00673328537823,0.0,-0.05068510822822623,-19.729660939011392,-8.490651582390452,-33.16726096347851
 1.030232550912592,2.4251496390735987,3.048905569198423,-5.008350567390859,-172.12665507698324,0.0,-0.05475127688472446,-18.264414218237143,-8.96652780583934,-35.58116779764703
 1.0435617710966931,2.46489932715553,2.9821465571815162,-5.008470945399792,-172.25296227065763,0.0,-0.059213512422493855,-16.888037190986207,-9.47596272924196,-38.21940941528342
 1.056845306458104,2.503628997702377,2.9156146683177324,-5.008598016538656,-172.3860901466049,0.0,-0.06411879138085196,-15.596051928992441,-10.022021421645242,-41.10793381027167
 1.070082604644724,2.5413461980095993,2.8493125844476275,-5.008732366331504,-172.5265129976555,0.0,-0.06952076100221626,-14.384192370508156,-10.608120257691644,-44.27631891217944
 1.0832730785313578,2.5780584941560774,2.7832431542645044,-5.008874643243329,-172.67474854325965,0.0,-0.0754808525234827,-13.248393023765756,-11.23807581730451,-47.75837206661829
 1.096416103121249,2.613773472827185,2.7174094080732107,-5.009025566453647,-172.83136295128654,0.0,-0.08206960937729257,-12.184778355685522,-11.916161835942011,-51.59284409762468
 1.109511012120028,2.6484987433566807,2.651814574101527,-5.00918593461012,-172.99697656670097,0.0,-0.08936827751559022,-11.189652836550989,-12.64717574057544,-55.82428291037261
 1.122557094143705,2.682241940019343,2.5864620965453535,-5.009356635775144,-173.17227046491314,0.0,-0.09747071690738397,-10.259491586074958,-13.436516641093382,-60.50405777653268
 1.1355535885178054,2.7150107246118167,2.5213556555509187,-5.00953865868478,-173.35799397034828,0.0,-0.1064857083558138,-9.390931566690405,-14.290277061577124,-65.69159312569187
 1.148499680619792,2.746812789365736,2.4564991893607298,-5.009733105501123,-173.55497330853368,0.0,-0.11653974859943528,-8.580763319107124,-15.21535121437741,-71.45586061899954
 1.1613944967116252,2.777655860245267,2.39189691887617,-5.009941206177821,-173.76412159402366,0.0,-0.12778045232109445,-7.825923150492061,-16.219563272595778,-77.8771911957999
 1.1742370982036925,2.8075477006908347,2.3275533749164246,-5.010164334655209,-173.98645039829842,0.0,-0.14038071085163248,-7.123485797538765,-17.311819915307673,-85.04948498063771
 1.1870264752856556,2.8364961158826865,2.2634734284813365,-5.010404027062427,-174.22308319348076,0.0,-0.15454380028800213,-6.47065749733368,-18.50229246239697,-93.08291869572145
 1.1997615398541874,2.864508957612316,2.199662324355143,-5.0106620019712995,-174.47527103184123,0.0,-0.17050968642168965,-5.8647694508503605,-19.802635236230703,-102.10727765345345
 1.2124411176626197,2.8915941298675234,2.136125718412719,-5.010940182895556,-174.74441090103096,0.0,-0.1885628467951773,-5.303271651844706,-21.22624848050901,-112.27607620590955
